2025-11-16T19:37:12.031136+00:00 | Loading server credentials...
2025-11-16T19:37:12.097107+00:00 | Sending server certificate...
2025-11-16T19:37:12.097485+00:00 | Waiting for client certificate...
2025-11-16T19:37:12.100444+00:00 | Client certificate verified.
2025-11-16T19:37:12.100458+00:00 | Starting temporary DH key exchange...
2025-11-16T19:37:12.103685+00:00 | Generated DH public key (len=800 bytes)
2025-11-16T19:37:12.103714+00:00 | Sending server DH public key...
2025-11-16T19:37:12.113360+00:00 | Temporary AES key established.
2025-11-16T19:37:12.113511+00:00 | Waiting for secure login/register command...
2025-11-16T19:40:05.936448+00:00 | Received command: register
2025-11-16T19:40:15.086242+00:00 | Received command: login_request
2025-11-16T19:40:30.841289+00:00 | Received command: login_request
2025-11-16T19:40:43.662030+00:00 | Received command: login_request
2025-11-16T19:40:43.666764+00:00 | Received command: login
2025-11-16T19:40:43.668036+00:00 | Login successful. Proceeding to session key exchange...
2025-11-16T19:40:43.668045+00:00 | Starting SESSION key exchange...
2025-11-16T19:40:43.724830+00:00 | ✅ Secure session key established.
2025-11-16T19:40:43.724845+00:00 | Starting secure chat. Type 'logout' to exit.
2025-11-16T19:40:45.394648+00:00 | [salman]: dwadaw
2025-11-16T19:40:46.682111+00:00 | [salman]: hello
2025-11-16T19:40:54.601162+00:00 | [salman]: how are you
2025-11-16T19:40:55.721201+00:00 | [salman]: fin
2025-11-16T19:40:58.276513+00:00 | Client salman is logging out.
2025-11-16T19:40:58.276539+00:00 | [-] Closing connection from ('127.0.0.1', 49830)
