2025-11-16T19:32:20.932157+00:00 | Loading server credentials...
2025-11-16T19:32:20.982960+00:00 | Sending server certificate...
2025-11-16T19:32:20.983916+00:00 | Waiting for client certificate...
2025-11-16T19:32:20.984420+00:00 | Client certificate verified.
2025-11-16T19:32:20.984427+00:00 | Starting temporary DH key exchange...
2025-11-16T19:32:20.987023+00:00 | Generated DH public key (len=804 bytes)
2025-11-16T19:32:20.987034+00:00 | Sending server DH public key...
2025-11-16T19:32:20.992503+00:00 | Temporary AES key established.
2025-11-16T19:32:20.992516+00:00 | Waiting for secure login/register command...
2025-11-16T19:32:42.120425+00:00 | Received command: register
2025-11-16T19:32:53.238917+00:00 | Received command: login_request
2025-11-16T19:32:53.249798+00:00 | Received command: login
2025-11-16T19:32:53.254083+00:00 | Login successful. Proceeding to session key exchange...
2025-11-16T19:32:53.254099+00:00 | Starting SESSION key exchange...
2025-11-16T19:32:53.304356+00:00 | ✅ Secure session key established.
2025-11-16T19:32:53.304372+00:00 | Starting secure chat. Type 'logout' to exit.
2025-11-16T19:32:55.308175+00:00 | [low]: dawdaw
2025-11-16T19:32:56.109597+00:00 | [low]: adawdwa
2025-11-16T19:32:56.627482+00:00 | [low]: dwa
2025-11-16T19:32:56.815729+00:00 | [low]: d
2025-11-16T19:32:58.579088+00:00 | Client low is logging out.
2025-11-16T19:32:58.579104+00:00 | [-] Closing connection from ('127.0.0.1', 47330)
