2025-11-16T19:45:01.443241+00:00 | Sending client certificate...
2025-11-16T19:45:01.443312+00:00 | Starting temporary DH key exchange...
2025-11-16T19:45:01.453484+00:00 | Temporary AES key established.
2025-11-16T19:45:11.153903+00:00 | Disconnected from server.
2025-11-16T19:54:13.782485+00:00 | Connected to server at localhost:65432
2025-11-16T19:54:13.782496+00:00 | Loading client credentials...
2025-11-16T19:54:13.782657+00:00 | 
ERROR: [Errno 2] No such file or directory: 'certs/invalid.crt.pem'
2025-11-16T19:54:13.786050+00:00 | Disconnected from server.
2025-11-16T19:55:19.037906+00:00 | Connected to server at localhost:65432
2025-11-16T19:55:19.037919+00:00 | Loading client credentials...
2025-11-16T19:55:19.087319+00:00 | Waiting for server certificate...
2025-11-16T19:55:19.120435+00:00 | Server certificate verified.
2025-11-16T19:55:19.120445+00:00 | Sending client certificate...
2025-11-16T19:55:19.120587+00:00 | Starting temporary DH key exchange...
2025-11-16T19:55:19.125188+00:00 | 
ERROR: Server disconnected during DH exchange.
2025-11-16T19:55:19.125805+00:00 | Disconnected from server.
2025-11-16T19:55:33.397580+00:00 | Connected to server at localhost:65432
2025-11-16T19:55:33.397594+00:00 | Loading client credentials...
2025-11-16T19:55:33.444039+00:00 | Waiting for server certificate...
2025-11-16T19:55:33.451954+00:00 | Server certificate verified.
2025-11-16T19:55:33.451962+00:00 | Sending client certificate...
2025-11-16T19:55:33.452088+00:00 | Starting temporary DH key exchange...
2025-11-16T19:55:33.455920+00:00 | 
ERROR: Server disconnected during DH exchange.
2025-11-16T19:55:33.456581+00:00 | Disconnected from server.
2025-11-16T19:55:39.626052+00:00 | Connected to server at localhost:65432
2025-11-16T19:55:39.626982+00:00 | Loading client credentials...
2025-11-16T19:55:39.675941+00:00 | Waiting for server certificate...
2025-11-16T19:55:39.708416+00:00 | Server certificate verified.
2025-11-16T19:55:39.708425+00:00 | Sending client certificate...
2025-11-16T19:55:39.709670+00:00 | Starting temporary DH key exchange...
2025-11-16T19:55:39.713113+00:00 | 
ERROR: Server disconnected during DH exchange.
2025-11-16T19:55:39.713766+00:00 | Disconnected from server.
2025-11-16T19:58:39.203808+00:00 | Connected to server at localhost:65432
2025-11-16T19:58:39.203821+00:00 | Loading client credentials...
2025-11-16T19:58:39.251333+00:00 | Waiting for server certificate...
2025-11-16T19:58:39.269487+00:00 | Server certificate verified.
2025-11-16T19:58:39.269495+00:00 | Sending client certificate...
2025-11-16T19:58:39.269565+00:00 | Starting temporary DH key exchange...
2025-11-16T19:58:39.279418+00:00 | Temporary AES key established.
2025-11-16T19:58:42.194553+00:00 | Disconnected from server.
2025-11-16T19:58:55.605142+00:00 | Connected to server at localhost:65432
2025-11-16T19:58:55.605156+00:00 | Loading client credentials...
2025-11-16T19:58:55.651083+00:00 | Waiting for server certificate...
2025-11-16T19:58:55.663499+00:00 | Server certificate verified.
2025-11-16T19:58:55.663510+00:00 | Sending client certificate...
2025-11-16T19:58:55.663613+00:00 | Starting temporary DH key exchange...
2025-11-16T19:58:55.672882+00:00 | Temporary AES key established.
2025-11-16T19:59:01.748367+00:00 | Login successful!
2025-11-16T19:59:01.748375+00:00 | Starting SESSION key exchange...
2025-11-16T19:59:01.793146+00:00 | ✅ Secure session key established.
2025-11-16T19:59:04.347498+00:00 | Sent[seq=1]: hello
2025-11-16T19:59:05.739479+00:00 | Sent[seq=2]: salman
2025-11-16T19:59:06.669135+00:00 | Sent[seq=3]: here
2025-11-16T19:59:15.271458+00:00 | Sent[seq=4]: how are you
2025-11-16T19:59:16.634082+00:00 | Disconnected from server.
2025-11-16T20:01:14.151736+00:00 | Connected to server at localhost:65432
2025-11-16T20:01:14.151750+00:00 | Loading client credentials...
2025-11-16T20:01:14.201790+00:00 | Waiting for server certificate...
2025-11-16T20:01:14.203137+00:00 | Server certificate verified.
2025-11-16T20:01:14.203144+00:00 | Sending client certificate...
2025-11-16T20:01:14.203233+00:00 | Starting temporary DH key exchange...
2025-11-16T20:01:14.218412+00:00 | Temporary AES key established.
2025-11-16T20:01:15.239468+00:00 | Disconnected from server.
2025-11-16T20:01:47.183676+00:00 | 
ERROR: [Errno 111] Connection refused
2025-11-16T20:01:47.184271+00:00 | Disconnected from server.
2025-11-16T20:03:53.444614+00:00 | Connected to server at localhost:65432
2025-11-16T20:03:53.444627+00:00 | Loading client credentials...
2025-11-16T20:03:53.491361+00:00 | Waiting for server certificate...
2025-11-16T20:03:53.495434+00:00 | Server certificate verified.
2025-11-16T20:03:53.495445+00:00 | Sending client certificate...
2025-11-16T20:03:53.495545+00:00 | Starting temporary DH key exchange...
2025-11-16T20:03:53.509109+00:00 | Temporary AES key established.
2025-11-16T20:04:01.594336+00:00 | Login successful!
2025-11-16T20:04:01.594344+00:00 | Starting SESSION key exchange...
2025-11-16T20:04:01.644508+00:00 | ✅ Secure session key established.
2025-11-16T20:04:04.574213+00:00 | Sent[seq=1]: hello 
2025-11-16T20:04:05.968880+00:00 | Sent[seq=2]: salman
2025-11-16T20:04:07.393287+00:00 | Sent[seq=3]: 123abc
2025-11-16T20:04:23.966905+00:00 | Sent logout message.
2025-11-16T20:04:24.794080+00:00 | Disconnected from server.
